id field z uv vj q1 q2 q3 q4 q5 q6 q7 q8 q9 q10 q11 q12 q13
531.0 AEGIS 2.0988 1.6388267317535041 1.983331244559977 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 0.0 0.0 0.07692307692307693 0.11494252873563218 0.09569377990430622
766.0 AEGIS 1.9801 1.6143610049533081 1.7700123453497651 1.0 1.0 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.5 0.4 0.3333333333333333 0.125 0.11538461538461539 0.14545454545454545 0.12096774193548387 0.14655172413793102
1420.0 AEGIS 1.873 1.7573768411620414 1.653644882538054 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 0.0 0.08333333333333333 0.09375 0.1388888888888889 0.17010309278350516
1606.0 AEGIS 2.4534 1.0086001268942186 1.1200990457207325 5.0 5.0 5.0 5.0 5.0 5.0 1.0 0.5 0.09090909090909091 0.045454545454545456 0.0196078431372549 0.07352941176470588 0.07518796992481203
2016.0 AEGIS 1.9839 1.7702863220431553 1.2081094271421082 5.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.2 0.3333333333333333 0.1568627450980392 0.171875 0.1346153846153846
2250.0 AEGIS 1.1862 1.4656531754395714 1.2987235711028422 5.0 5.0 5.0 5.0 5.0 5.0 0.0 0.0 0.0 0.11764705882352941 0.15384615384615385 0.17886178861788618 0.2621359223300971
2289.0 AEGIS 1.6564 1.5100364142479736 1.3274307315413 5.0 5.0 5.0 5.0 5.0 0.0 0.2 0.16666666666666666 0.07142857142857142 0.16129032258064516 0.20689655172413793 0.19718309859154928 0.20774647887323944
2427.0 AEGIS 1.6654 1.5471331471119392 1.2064581420149934 1.0 1.0 1.0 1.0 1.0 0.5 0.2 0.3333333333333333 0.2 0.125 0.10416666666666667 0.13953488372093023 0.18248175182481752
2481.0 AEGIS 1.3613 1.8148822808088751 1.227517792208306 5.0 5.0 5.0 5.0 0.0 0.0 0.0 0.0 0.0 0.16666666666666666 0.2653061224489796 0.25892857142857145 0.22844827586206898
2918.0 AEGIS 2.0708 1.6208177297113988 1.3071521335511915 5.0 5.0 5.0 5.0 0.0 0.0 0.0 0.0 0.0 0.14814814814814814 0.14754098360655737 0.13636363636363635 0.12280701754385964
2957.0 AEGIS 2.4753 1.6064945912918682 1.293457702587542 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 0.0 0.07142857142857142 0.08823529411764706 0.08536585365853659 0.08968609865470852
3106.0 AEGIS 1.6345 1.9147832960031999 1.1462154973835461 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.6666666666666666 0.3333333333333333 0.3181818181818182 0.2054794520547945 0.2565789473684211 0.2027491408934708
3311.0 AEGIS 1.8535 1.8471036746425433 1.2370736520341905 5.0 5.0 5.0 5.0 5.0 0.0 0.0 0.0 0.2 0.19047619047619047 0.1956521739130435 0.17894736842105263 0.14349775784753363
